order_transaction_id,order_transaction_type,order_transaction_date,original_sale_transaction_id,customer_id,return_type,shipped_date,delivered_date,pick_up_date,warehouse_received_date
#3304931,Sale,2024-01-25,#3304931,6640874848334,,2024-01-25,2024-01-30,,
#3304932,Sale,2024-01-25,#3304932,6640875307086,,2024-01-25,2024-01-29,,
#3304933,Sale,2024-01-25,#3304933,6640875634766,,2024-01-25,2024-01-29,,
#3304934,Sale,2024-01-25,#3304934,6640875601998,,2024-01-25,2024-02-02,,
#3304935,Sale,2024-01-25,#3304935,6629229953102,,2024-01-25,2024-01-26,,
#3304936,Sale,2024-01-25,#3304936,6640876716110,,2024-01-25,2024-02-02,,
#3304937,Sale,2024-01-25,#3304937,6640876748878,,2024-01-25,2024-01-30,,
#3304938,Sale,2024-01-25,#3304938,6640877535310,,2024-01-25,2024-01-29,,
#3304939,Sale,2024-01-25,#3304939,6232229445710,,2024-01-25,2024-01-29,,
#3304940,Sale,2024-01-25,#3304940,6640876322894,,2024-01-25,2024-01-28,,
#3304941,Sale,2024-01-25,#3304941,6640878354510,,2024-01-25,2024-01-29,,
#3304942,Sale,2024-01-25,#3304942,6640873177166,,2024-01-25,2024-01-30,,
#3304943,Sale,2024-01-25,#3304943,6640878944334,,2024-01-25,2024-01-30,,
#3304944,Sale,2024-01-25,#3304944,6640878977102,,2024-01-25,2024-01-31,,
#3304945,Sale,2024-01-25,#3304945,6572549210190,,2024-01-25,2024-01-29,,
#3304946,Sale,2024-01-25,#3304946,5151929139278,,2024-01-25,2024-01-27,,
#3304947,Sale,2024-01-25,#3304947,6640879009870,,2024-01-25,2024-01-30,,
#3304948,Sale,2024-01-25,#3304948,6640880123982,,2024-01-25,2024-01-28,,
#3304949,Sale,2024-01-25,#3304949,6640879894606,,2024-01-25,2024-01-28,,
#3304950,Sale,2024-01-25,#3304950,6615412441166,,2024-01-25,2024-01-30,,
#3304951,Sale,2024-01-26,#3304951,6640880582734,,2024-01-26,2024-02-04,,
#3304952,Sale,2024-01-26,#3304952,6640880812110,,2024-01-26,2024-01-30,,
#3304953,Sale,2024-01-26,#3304953,6640881827918,,2024-01-26,2024-01-31,,
#3304955,Sale,2024-01-26,#3304955,6640880549966,,2024-01-26,2024-01-29,,
#3304956,Sale,2024-01-26,#3304956,6640881467470,,2024-01-26,2024-01-31,,
#3304957,Sale,2024-01-26,#3304957,6640882188366,,2024-01-26,2024-01-30,,
#3304958,Sale,2024-01-26,#3304958,6640882221134,,2024-01-26,2024-01-30,,
#3304959,Sale,2024-01-26,#3304959,6640882483278,,2024-01-26,2024-01-30,,
#3304960,Sale,2024-01-26,#3304960,6640881958990,,2024-01-26,2024-01-30,,
#3304961,Sale,2024-01-26,#3304961,5439972769870,,2024-01-26,2024-01-30,,
#3304962,Sale,2024-01-26,#3304962,6640883925070,,2024-01-26,2024-01-30,,
#3304964,Sale,2024-01-26,#3304964,5818799980622,,2024-01-26,2024-01-31,,
#3304965,Sale,2024-01-26,#3304965,6640877404238,,2024-01-26,2024-01-28,,
#3304966,Sale,2024-01-26,#3304966,6640883040334,,2024-01-26,2024-01-27,,
#3304967,Sale,2024-01-26,#3304967,6640884940878,,2024-01-26,2024-02-03,,
#3304968,Sale,2024-01-26,#3304968,5686952460366,,2024-01-26,2024-01-30,,
#3304969,Sale,2024-01-26,#3304969,6640884842574,,2024-01-26,2024-01-30,,
#3304970,Sale,2024-01-26,#3304970,1246568742990,,2024-01-26,2024-02-03,,
#3304971,Sale,2024-01-26,#3304971,6640884088910,,2024-01-26,2024-01-30,,
#3304972,Sale,2024-01-27,#3304972,6640885760078,,2024-01-27,2024-01-30,,
#3304973,Sale,2024-01-27,#3304973,6640886120526,,2024-01-27,2024-01-31,,
#3304974,Sale,2024-01-27,#3304974,6640885923918,,2024-01-27,2024-01-31,,
#3304975,Sale,2024-01-27,#3304975,6640886677582,,2024-01-27,2024-01-31,,
#3304976,Sale,2024-01-27,#3304976,6640885301326,,2024-01-27,2024-01-30,,
#3304977,Sale,2024-01-27,#3304977,6640886612046,,2024-01-27,2024-01-31,,
#3304978,Sale,2024-01-27,#3304978,6492712566862,,2024-01-27,2024-01-30,,
#3304979,Sale,2024-01-27,#3304979,5339673722958,,2024-01-27,2024-01-30,,
#3304980,Sale,2024-01-27,#3304980,6640888217678,,2024-01-27,2024-01-30,,
#3304981,Sale,2024-01-27,#3304981,6640889004110,,2024-01-27,2024-01-31,,
#3304982,Sale,2024-01-27,#3304982,6640890216526,,2024-01-27,2024-02-01,,
