row_id,transaction_id,marketing_source,marketing_medium,marketing_campaign
1891,#3306999,facebook,cpc,fb_prospecting_lowest cost_new
1892,#3307004,(direct),(none),
1893,#3307012,facebook,cpc,fb_prospecting_consolidated_lowest cost
1894,#3307030,facebook,cpc,fb_prospecting_lowest cost_7dc1dv
1895,#3307035,(direct),(none),
1896,#3307043,google,organic,(organic)
1897,#3307045,google,organic,(organic)
1898,#3307077,l.facebook.com,referral,(referral)
1899,#3307089,facebook,cpc,fb_prospecting_allprod_asc_1dc1dv
1900,#3307095,pinterest,paid,pint_v2345
1901,#3307097,Email,email,welcome flow email
1902,#3307102,google,(none),
1903,#3307109,(direct),(none),
1904,#3307112,facebook,cpc,fb_prospecting_urbanloom_all_2024
1905,#3307117,partner,affiliate,honest brand reviews
1906,#3307136,Email,email,welcome flow email
1907,#3307139,facebook,cpc,fb_prospecting_consolidated_lowest cost
1908,#3307163,(direct),(none),
1909,#3307174,google,organic,(organic)
1910,#3307182,facebook,cpc,fb_prospecting_urbanloom_all_2024
1911,#3307194,(direct),(none),
1912,#3307195,facebook,cpc,fb_prospecting_consolidated_simplifiedsales
1913,#3307196,(direct),(none),
1914,#3307199,google,organic,(organic)
1915,#3307202,(direct),(none),
1916,#3307206,(direct),(none),
1917,#3307220,google,organic,(organic)
1918,#3307894,instagram,instagram_organic,linkin.bio_shopurbanloom
1919,#3307225,facebook,cpc,fb_ts_prospecting_dv24_campaign
1920,#3307235,(direct),(none),
1921,#3307245,(direct),(none),
1922,#3307255,(direct),(none),
1923,#3307257,google,organic,(organic)
1924,#3307265,facebook,cpc,fb_prospecting_urbanloom_all_2024
1925,#3307279,bing,cpc,ww - search - generic
1926,#3307285,google,organic,(organic)
1927,#3307302,google,organic,(organic)
1928,#3307313,facebook,cpc,fb_prospecting_urbanloom_all_2024
1929,#3307317,google,organic,(organic)
1930,#3307325,(direct),(none),
1931,#3307350,(direct),(none),
1932,#3307354,Email,email,welcome flow email
1933,#3307372,facebook,cpc,fb_prospecting_urbanloom_all_2024
1934,#3307385,facebook,cpc,fb_prospecting_consolidated_simplifiedsales
1935,#3307395,Email,email,welcome flow email
1936,#3307409,partner,affiliate,honest brand reviews
1937,#3307414,google,shopping,ww-shopping-branded
1938,#3307439,facebook,cpc,fb_prospecting_consolidated_lowest cost
1939,#3307443,google,(none),
1940,#3307485,(direct),(none),
1941,#3307490,facebook,cpc,fb_prospecting_consolidated_lowest cost
1942,#3307494,m.facebook.com,referral,(referral)
1943,#3307501,facebook,cpc,fb_ts_prospecting_dv24_campaign
1944,#3307510,(direct),(none),
1945,#3307538,facebook,cpc,fb_ts_prospecting_dv24_campaign
1946,#3307544,facebook,cpc,fb_prospecting_consolidated_lowest cost
1947,#3307556,facebook,cpc,fb_ts_prospecting_dv24_campaign
1948,#3307558,(direct),(none),
1949,#3307560,(direct),(none),
1950,#3307568,google,(none),
1951,#3307958,instagram,instagram_organic,linkin.bio_shopurbanloom
1952,#3307597,google,organic,(organic)
1953,#3307604,l.facebook.com,referral,(referral)
