transaction_line_item_id,order_transaction_id,product_id,full_price_retail,discounts,revenue,quantity,return_reason,currency
S12796342665294,#3305833,39399871742030,69,10,59,1,,GBP
S12796365242446,#3305861,40245470429262,129,25.79,103.21,1,,GBP
R12796365242446,RET#3305861,40245470429262,-129,-25.79,-103.21,-1,ordered incorrectly or too many,GBP
S12796428582990,#3305939,39434150608974,99,33.48,65.52,1,,GBP
S12796428615758,#3305939,40239063072846,99,33.47,65.53,1,,GBP
S12796428550222,#3305939,40239826763854,189,32.65,156.35,1,,GBP
S12796445884494,#3305959,39399871709262,69,13.8,55.2,1,,GBP
S12796445851726,#3305959,40154584678478,89,0,89,1,,GBP
R12796455977038,RET#3305972,40106359128142,-69,0,-69,-1,size or fit,GBP
S12796455977038,#3305972,40106359128142,69,0,69,1,,GBP
S12796455944270,#3305972,39399871479886,69,13.8,55.2,1,,GBP
R12796455944270,RET#3305972,39399871479886,-69,-13.8,-55.2,-1,size or fit,GBP
R12796458827854,RET#3305980,40230420840526,-69,-13.8,-55.2,-1,size or fit,GBP
R12796458860622,RET#3305980,39399871414350,-69,0,-69,-1,size or fit,GBP
S12796458860622,#3305980,39399871414350,69,0,69,1,,GBP
S12796458827854,#3305980,40230420840526,69,13.8,55.2,1,,GBP
S12796460761166,#3305984,39399871414350,69,0,69,1,,GBP
S12796473999438,#3306005,39940333797454,129,0,129,1,,GBP
S12796530851918,#3306085,32576267550798,64,0,64,1,,GBP
S12796530819150,#3306085,32576267288654,64,12.8,51.2,1,,GBP
S12796587081806,#3306160,39399871709262,69,13.79,55.21,1,,GBP
S12796592488526,#3306171,39541981446222,99,0,99,1,,GBP
S12796611887182,#3306198,39399871512654,69,0,69,1,,GBP
S12796615229518,#3306205,39399871742030,69,0,69,1,,GBP
S12796628598862,#3306220,39509055242318,84,23.52,60.48,1,,GBP
S12796628566094,#3306220,32715198333006,84,8.4,75.6,1,,GBP
R12796635611214,RET#3306227,32841360408654,-64,-20.48,-43.52,-1,size or fit,GBP
S12796635643982,#3306227,32841360375886,64,9.6,54.4,1,,GBP
S12796635611214,#3306227,32841360408654,64,20.48,43.52,1,,GBP
S12796641247310,#3306237,32841360638030,64,12.8,51.2,1,,GBP
S12796641280078,#3306237,39867951382606,64,0,64,1,,GBP
S12796735127630,#3306363,39399871709262,69,10,59,1,,GBP
S12796735094862,#3306363,40106359029838,69,10,59,1,,GBP
S12796749119566,#3306383,28538965327950,84,0,84,1,,GBP
S12796762226766,#3306408,39926152888398,69,0,69,1,,GBP
S12796762193998,#3306408,40230420840526,69,13.8,55.2,1,,GBP
S12796834545742,#3306544,40287343607886,89,0,89,1,,GBP
S12796834512974,#3306544,40287343575118,89,17.8,71.2,1,,GBP
S12796859973710,#3306587,39399872233550,69,13.8,55.2,1,,GBP
S12796859940942,#3306587,39991315103822,84,0,84,1,,GBP
S12796860006478,#3306587,39399872266318,69,13.8,55.2,1,,GBP
S12796879470670,#3306626,32576267616334,64,0,64,1,,GBP
S12796879732814,#3306627,40230420906062,69,0,69,1,,GBP
S12796896313422,#3306662,40106361716814,69,0,69,1,,GBP
S12796901982286,#3306676,39399871479886,69,0,69,1,,GBP
S12796901949518,#3306676,39399871742030,69,13.8,55.2,1,,GBP
S12796904046670,#3306679,39940333568078,129,0,129,1,,GBP
S12796904013902,#3306679,39541981446222,99,19.8,79.2,1,,GBP
S12796903981134,#3306679,39399871774798,69,13.8,55.2,1,,GBP
S12796921282638,#3306715,32576267321422,64,12.8,51.2,1,,GBP
S12796921249870,#3306715,40106359128142,69,0,69,1,,GBP
S12796922658894,#3306718,39399871709262,69,0,69,1,,GBP
S12796926656590,#3306725,32893669179470,64,23.04,40.96,1,,GBP
S12796926689358,#3306725,32576267223118,64,12.8,51.2,1,,GBP
S12796943401038,#3306747,39399871676494,69,0,69,1,,GBP
S12796943368270,#3306747,39926152888398,69,13.8,55.2,1,,GBP
S12796949200974,#3306756,29426760384590,84,19.42,64.58,1,,GBP
R12796965453902,RET#3306789,40131554148430,-69,-19.32,-49.68,-1,ordered incorrectly or too many,GBP
S12796965486670,#3306789,40230647627854,69,19.32,49.68,1,,GBP
R12796965486670,RET#3306789,40230647627854,-69,-19.32,-49.68,-1,ordered incorrectly or too many,GBP
S12796965453902,#3306789,40131554148430,69,19.32,49.68,1,,GBP
S12796965552206,#3306789,40230646349902,69,6.9,62.1,1,,GBP
R12796965519438,RET#3306789,40131549265998,-69,-19.32,-49.68,-1,ordered incorrectly or too many,GBP
R12796965552206,RET#3306789,40230646349902,-69,-6.9,-62.1,-1,ordered incorrectly or too many,GBP
S12796965519438,#3306789,40131549265998,69,19.32,49.68,1,,GBP
S12796970565710,#3306803,40106358997070,69,17,52,1,,GBP
S12796970532942,#3306803,28587535892558,89,22,67,1,,GBP
S12796970500174,#3306803,39337886187598,99,25,74,1,,GBP
S12796984787022,#3306833,32576267485262,64,0,64,1,,GBP
S12796984721486,#3306833,39508945436750,64,12.8,51.2,1,,GBP
S12796984754254,#3306833,39509195751502,64,12.8,51.2,1,,GBP
S12796984688718,#3306833,32841360408654,64,12.8,51.2,1,,GBP
S12797024141390,#3306902,40245471084622,69,0,69,1,,GBP
S12797051535438,#3306944,40399675326542,69,13.8,55.2,1,,GBP
S12797051568206,#3306944,39399871479886,69,0,69,1,,GBP
R12797059956814,RET#3306951,28587503419470,-89,0,0,-1,overall fit,GBP
S12797059956814,#3306951,28587503419470,89,0,89,1,,GBP
S12797073096782,#3306971,39399871414350,69,0,69,1,,GBP
S12797073064014,#3306971,39399871676494,69,13.8,55.2,1,,GBP
S12797075128398,#3306974,40230420840526,69,0,69,1,,GBP
S12797096722510,#3307010,40245471150158,69,0,69,1,,GBP
S12797096656974,#3307010,40245471412302,69,13.8,55.2,1,,GBP
S12797096689742,#3307010,39399871742030,69,13.8,55.2,1,,GBP
S12797100818510,#3307019,39399871512654,69,0,69,1,,GBP
S12797100785742,#3307019,40106359193678,69,13.8,55.2,1,,GBP
S12797100752974,#3307019,40230420938830,69,13.8,55.2,1,,GBP
S12797105438798,#3307023,31975519027278,84,16.8,67.2,1,,GBP
S12797105406030,#3307023,39926153052238,69,13.8,55.2,1,,GBP
S12797105471566,#3307023,32645808783438,84,0,84,1,,GBP
R12797112418382,RET#3307040,39399871840334,-69,-13.8,-55.2,-1,size or fit,GBP
R12797112385614,RET#3307040,39421320298574,-84,0,-84,-1,overall fit and construction,GBP
R12797112451150,RET#3307040,40106361716814,-69,-13.8,-55.2,-1,size or fit,GBP
S12797112385614,#3307040,39421320298574,84,0,84,1,,GBP
S12797112418382,#3307040,39399871840334,69,13.8,55.2,1,,GBP
S12797112352846,#3307040,40244728791118,39,7.8,31.2,1,,GBP
S12797112451150,#3307040,40106361716814,69,13.8,55.2,1,,GBP
R12797120381006,RET#3307062,39399871414350,-69,-13.79,0,-1,ordered incorrectly or too many,GBP
R12797120315470,RET#3307062,40399675261006,-69,-24.84,0,-1,ordered incorrectly or too many,GBP
R12797120348238,RET#3307062,39399871676494,-69,-24.84,0,-1,ordered incorrectly or too many,GBP
R12797120282702,RET#3307062,39399871938638,-69,-24.84,0,-1,ordered incorrectly or too many,GBP
S12797120348238,#3307062,39399871676494,69,24.84,44.16,1,,GBP
S12797120315470,#3307062,40399675261006,69,24.84,44.16,1,,GBP
S12797120381006,#3307062,39399871414350,69,13.79,55.21,1,,GBP
S12797120282702,#3307062,39399871938638,69,24.84,44.16,1,,GBP
S12797120643150,#3307063,39940334026830,129,0,129,1,,GBP
S12797120839758,#3307066,40245470756942,129,0,129,1,,GBP
S12797120806990,#3307066,32826539868238,84,16.8,67.2,1,,GBP
S12797120872526,#3307066,39337885990990,99,19.8,79.2,1,,GBP
S12797144858702,#3307106,40230420873294,69,0,69,1,,GBP
S12797144891470,#3307107,32576267255886,64,18.1,45.9,1,,GBP
S12797144957006,#3307107,39399871676494,69,19.5,49.5,1,,GBP
S12797144924238,#3307107,32841360408654,64,18.1,45.9,1,,GBP
S12797184540750,#3307164,39399871447118,69,0,69,1,,GBP
S12797184507982,#3307164,39399871709262,69,13.8,55.2,1,,GBP
S12797188538446,#3307172,40245471084622,69,0,69,1,,GBP
S12797199712334,#3307187,39399871643726,69,13.8,55.2,1,,GBP
S12797199679566,#3307187,31975518961742,84,0,84,1,,GBP
S12797199745102,#3307187,32576267485262,64,12.8,51.2,1,,GBP
S12797199777870,#3307187,32576267223118,64,12.8,51.2,1,,GBP
R12797238804558,RET#3307243,39399871676494,-138,-13.8,-124.2,-2,size or fit,GBP
S12797238804558,#3307243,39399871676494,138,13.8,124.2,2,,GBP
R12797252337742,RET#3307258,39337885728846,-99,0,0,-1,too big or too small,GBP
S12797252337742,#3307258,39337885728846,99,0,99,1,,GBP
S12797261054030,#3307271,40409332416590,98.43,19.69,78.74,1,,GBP
S12797261086798,#3307271,40287343607886,104.99,0,104.99,1,,GBP
S12797261021262,#3307271,39530764337230,95.15,19.03,76.12,1,,GBP
R12797268230222,RET#3307275,40106359029838,-69,0,0,-1,size or fit,GBP
R12797268197454,RET#3307275,39926153052238,-69,-13.8,0,-1,size or fit,GBP
S12797268197454,#3307275,39926153052238,69,13.8,55.2,1,,GBP
S12797268230222,#3307275,40106359029838,69,0,69,1,,GBP
S12797303554126,#3307308,39399871742030,69,0,69,1,,GBP
S12797303521358,#3307308,40106359193678,69,13.8,55.2,1,,GBP
S12797337993294,#3307342,32841360736334,64,23.04,40.96,1,,GBP
S12797338058830,#3307342,40241988796494,99,35.64,63.36,1,,GBP
S12797337960526,#3307342,40266536910926,99,35.64,63.36,1,,GBP
S12797338026062,#3307342,40106359128142,69,24.84,44.16,1,,GBP
S12797338091598,#3307342,39337885990990,99,19.79,79.21,1,,GBP
S12797430595662,#3307419,40106359128142,69,0,69,1,,GBP
S12797430562894,#3307419,40399675326542,69,13.8,55.2,1,,GBP
S12797493903438,#3307489,39926153117774,69,0,69,1,,GBP
S12797498785870,#3307491,32576267288654,64,12.8,51.2,1,,GBP
S12797498753102,#3307491,40106358997070,69,0,69,1,,GBP
S12797511139406,#3307511,32841374892110,64,12.8,51.2,1,,GBP
S12797511172174,#3307511,32841360670798,64,0,64,1,,GBP
S12797533356110,#3307557,39926153052238,69,13.8,55.2,1,,GBP
S12797533388878,#3307557,39399871447118,69,0,69,1,,GBP
S12797536534606,#3307564,39399871676494,69,0,69,1,,GBP
S12797536501838,#3307564,39399871414350,69,13.8,55.2,1,,GBP
S12797542498382,#3307570,40106359029838,69,10,59,1,,GBP
S12797542531150,#3307570,39399871709262,69,10,59,1,,GBP
S12797542465614,#3307570,40230420840526,69,13.8,55.2,1,,GBP
R12797575004238,RET#3307641,40106358997070,-69,-13.8,-55.2,-1,"fabric, color, design",GBP
R12797575037006,RET#3307641,39399871676494,-69,0,-69,-1,"fabric, color, design",GBP
S12797575037006,#3307641,39399871676494,69,0,69,1,,GBP
S12797575004238,#3307641,40106358997070,69,13.8,55.2,1,,GBP
S12797581361230,#3307654,39399872364622,69,0,69,1,,GBP
S12797583130702,#3307657,32576267550798,64,0,64,1,,GBP
S12797583097934,#3307657,32576267288654,64,12.8,51.2,1,,GBP
S12797591453774,#3307678,39399871414350,69,0,69,1,,GBP
R12797601873998,RET#3307707,39399871742030,-69,-24.84,-44.16,-1,size or fit,GBP
R12797601906766,RET#3307707,32841360736334,-64,-20.8,-43.2,-1,size or fit,GBP
R12797601939534,RET#3307707,39399871479886,-69,-21.8,-47.2,-1,size or fit,GBP
S12797601939534,#3307707,39399871479886,69,21.8,47.2,1,,GBP
S12797601906766,#3307707,32841360736334,64,20.8,43.2,1,,GBP
S12797601873998,#3307707,39399871742030,69,24.84,44.16,1,,GBP
R12797606592590,RET#3307716,39940333764686,-129,-25.79,-103.21,-1,overall fit,GBP
S12797606592590,#3307716,39940333764686,129,25.79,103.21,1,,GBP
S12797608853582,#3307719,40230420807758,69,0,69,1,,GBP
S12797660659790,#3307821,32826539933774,84,0,84,1,,GBP
S12797677764686,#3307861,40245470429262,129,25.8,103.2,1,,GBP
S12797677830222,#3307861,39940333994062,129,0,129,1,,GBP
S12797677797454,#3307861,39940333961294,129,25.8,103.2,1,,GBP
S12797686513742,#3307881,39399871447118,69,0,69,1,,GBP
R12797691002958,RET#3307891,40230420938830,-69,0,0,-1,size or fit,GBP
S12797691002958,#3307891,40230420938830,69,0,69,1,,GBP
S12797719609422,#3307937,39399871742030,69,13.8,55.2,1,,GBP
S12797719576654,#3307937,39399871709262,69,13.8,55.2,1,,GBP
S12797719674958,#3307937,39399871479886,69,0,69,1,,GBP
S12797719642190,#3307937,39399871447118,69,13.8,55.2,1,,GBP
S12797723639886,#3307945,39399871447118,69,0,69,1,,GBP
S12797723607118,#3307945,39926153052238,69,13.8,55.2,1,,GBP
R12797735600206,RET#3307966,32841374957646,-64,-64,0,-1,ordered incorrectly or too many,GBP
S12797735600206,#3307966,32841374957646,64,64,0,1,,GBP
R12797735567438,RET#3307966,39508945993806,-64,-64,0,-1,ordered incorrectly or too many,GBP
S12797735567438,#3307966,39508945993806,64,64,0,1,,GBP
S12797741629518,#3307977,39399872299086,69,19.32,49.68,1,,GBP
S12797741662286,#3307977,40230420938830,69,6.9,62.1,1,,GBP
S12797769089102,#3308027,40106359128142,69,13.8,55.2,1,,GBP
S12797788422222,#3308056,40245471346766,69,13.8,55.2,1,,GBP
S12797788454990,#3308056,40245471084622,69,0,69,1,,GBP
S12797797597262,#3308069,39399871479886,69,0,69,1,,GBP
S12797797564494,#3308069,39399871742030,69,13.8,55.2,1,,GBP
S12797840228430,#3308140,32893671473230,64,12.8,51.2,1,,GBP
S12797840261198,#3308140,39509196013646,64,0,64,1,,GBP
R12797870276686,RET#3308199,32576267223118,-64,-12.8,-51.1,-1,"fabric, color, design",GBP
S12797870309454,#3308199,39399871643726,69,0,69,1,,GBP
S12797870276686,#3308199,32576267223118,64,12.8,51.2,1,,GBP
S12797870473294,#3308201,39399871709262,69,13.8,55.2,1,,GBP
S12797870506062,#3308201,39399871676494,69,0,69,1,,GBP
R12797883744334,RET#3308215,32576267223118,-64,-12.8,-51.11,-1,size or fit,GBP
R12797883908174,RET#3308215,39399871676494,-69,0,-68.89,-1,size or fit,GBP
R12797883809870,RET#3308215,32841360408654,-64,-12.8,-51.11,-1,size or fit,GBP
R12797883842638,RET#3308215,32841360375886,-64,-12.8,-51.11,-1,size or fit,GBP
R12797883875406,RET#3308215,39399871414350,-69,-13.8,-55.11,-1,size or fit,GBP
R12797883777102,RET#3308215,32576267255886,-64,-12.8,-51.11,-1,size or fit,GBP
S12797883809870,#3308215,32841360408654,64,12.8,51.2,1,,GBP
S12797883908174,#3308215,39399871676494,69,0,69,1,,GBP
S12797883744334,#3308215,32576267223118,64,12.8,51.2,1,,GBP
S12797883842638,#3308215,32841360375886,64,12.8,51.2,1,,GBP
S12797883875406,#3308215,39399871414350,69,13.8,55.2,1,,GBP
S12797883777102,#3308215,32576267255886,64,12.8,51.2,1,,GBP
S12797904453710,#3308250,28587503648846,89,13,76,1,,GBP
S12797904486478,#3308250,39399871709262,69,10,59,1,,GBP
S12797904912462,#3308253,40106359193678,69,13.8,55.2,1,,GBP
S12797904945230,#3308253,31563609964622,84,0,84,1,,GBP
S12797918904398,#3308274,40106359029838,69,13.8,55.2,1,,GBP
S12797918937166,#3308274,39399871709262,69,0,69,1,,GBP
S12798004363342,#3308398,28587503485006,89,17.8,71.2,1,,GBP
S12798004396110,#3308398,40128470614094,89,0,89,1,,GBP
S12798005182542,#3308401,32576267550798,64,12.8,51.2,1,,GBP
S12798005215310,#3308401,32715198267470,84,0,84,1,,GBP
R12798033854542,RET#3308453,32576267354190,-64,0,0,-1,size or fit,GBP
S12798033854542,#3308453,32576267354190,64,0,64,1,,GBP
S12798053974094,#3308490,32841360408654,128,12.8,115.2,2,,GBP
S12798060527694,#3308497,32841360506958,64,12.8,51.2,1,,GBP
S12798060494926,#3308497,39399871774798,69,0,69,1,,GBP
R12798074585166,RET#3308516,32715198398542,-84,-16.8,0,-1,ordered incorrectly or too many,GBP
S12798074617934,#3308516,32715198136398,84,0,84,1,,GBP
S12798074585166,#3308516,32715198398542,84,16.8,67.2,1,,GBP
R12798085038158,RET#3308527,40106358997070,-69,0,-68.8,-1,size or fit,GBP
R12798085070926,RET#3308527,40070730448974,-64,-12.8,-51.05,-1,size or fit,GBP
R12798085103694,RET#3308527,32576267255886,-64,-12.8,-51.05,-1,size or fit,GBP
S12798085038158,#3308527,40106358997070,69,0,69,1,,GBP
S12798085070926,#3308527,40070730448974,64,12.8,51.2,1,,GBP
S12798085103694,#3308527,32576267255886,64,12.8,51.2,1,,GBP
S12798099587150,#3308542,39940333797454,129,0,129,1,,GBP
S12798099619918,#3308542,40290377367630,89,17.8,71.2,1,,GBP
S12798144544846,#3308585,40230420906062,69,0,69,1,,GBP
S12798238949454,#3308704,39399871447118,69,13.8,55.2,1,,GBP
R12798241046606,RET#3308708,32576267255886,-64,-12.8,0,-1,size or fit,GBP
R12798241079374,RET#3308708,32576267518030,-64,0,0,-1,size or fit,GBP
S12798241046606,#3308708,32576267255886,64,12.8,51.2,1,,GBP
S12798241079374,#3308708,32576267518030,64,0,64,1,,GBP
S12798273421390,#3308742,31872561217614,79,15.79,63.21,1,,GBP
S12798323425358,#3308812,40106359193678,69,0,69,1,,GBP
S12798324211790,#3308815,40245471117390,69,0,69,1,,GBP
S12798348886094,#3308852,40128470646862,89,0,89,1,,GBP
S12798357733454,#3308863,28619228020814,84,0,84,1,,GBP
S12798357700686,#3308863,28538965098574,84,16.8,67.2,1,,GBP
S12798383423566,#3308892,40154585006158,89,32.04,56.96,1,,GBP
S12798383390798,#3308892,29426772082766,89,32.04,56.96,1,,GBP
S12798383456334,#3308892,40114229837902,39,14.2,24.8,1,,GBP
S12798383489102,#3308892,40110634008654,39,14.2,24.8,1,,GBP
S12798383521870,#3308892,40110633746510,39,14.19,24.81,1,,GBP
R12798439784526,RET#3308975,32576267354190,-64,0,-63.77,-1,size or fit,GBP
S12798439784526,#3308975,32576267354190,64,0,64,1,,GBP
S12798443421774,#3308982,39399872004174,69,19.32,49.68,1,,GBP
S12798443454542,#3308982,39399871479886,69,6.89,62.11,1,,GBP
S12798452432974,#3308997,32576267583566,64,0,64,1,,GBP
S12798469439566,#3309022,40106358997070,69,6.89,62.11,1,,GBP
R12798469439566,RET#3309022,40106358997070,-69,-6.89,-62.01,-1,size or fit,GBP
S12798469406798,#3309022,32841360408654,64,17.92,46.08,1,,GBP
S12798491557966,#3309064,39508945436750,64,0,64,1,,GBP
S12798528290894,#3309084,39399871414350,69,0,69,1,,GBP
S12798581801038,#3309094,28587503583310,89,0,89,1,,GBP
R12798630166606,RET#3309110,32826539966542,-84,-16.8,0,-2,overall fit,GBP
R12798630133838,RET#3309110,28538965426254,-84,-16.8,0,-1,too tight or too loose,GBP
S12798630133838,#3309110,28538965426254,84,16.8,67.2,1,,GBP
S12798630166606,#3309110,32826539966542,84,16.8,67.2,1,,GBP
S12798630101070,#3309110,28587503714382,89,0,89,1,,GBP
S12798691541070,#3309154,39399871643726,69,6.9,62.1,1,,GBP
S12798691508302,#3309154,32841360638030,64,17.92,46.08,1,,GBP
R12798692425806,RET#3309156,39399871643726,-69,0,-68.75,-1,size or fit,GBP
R12798692393038,RET#3309156,39926152659022,-69,-13.8,-55,-1,size or fit,GBP
S12798692393038,#3309156,39926152659022,69,13.8,55.2,1,,GBP
S12798692425806,#3309156,39399871643726,69,0,69,1,,GBP
S12798753308750,#3309217,32576267616334,64,12.8,51.2,1,,GBP
S12798753341518,#3309217,32576267354190,64,0,64,1,,GBP
R12798762123342,RET#3309224,40287343575118,-89,0,-89,-1,too tight or too loose,GBP
S12798762123342,#3309224,40287343575118,89,0,89,1,,GBP
S12798762090574,#3309224,39991315300430,84,16.8,67.2,1,,GBP
S12798762811470,#3309226,39399871479886,69,0,69,1,,GBP
S12798762778702,#3309226,40230420906062,69,13.8,55.2,1,,GBP
R12798764154958,RET#3309229,39399871479886,-69,0,-68.64,-1,size or fit,GBP
R12798764122190,RET#3309229,39399871742030,-69,-13.8,-54.91,-1,size or fit,GBP
S12798764154958,#3309229,39399871479886,69,0,69,1,,GBP
S12798764122190,#3309229,39399871742030,69,13.8,55.2,1,,GBP
S12798798626894,#3309255,39399871709262,69,13.8,55.2,1,,GBP
S12798798659662,#3309255,40106359029838,69,0,69,1,,GBP
S12798809407566,#3309263,31872561283150,79,0,79,1,,GBP
S12798809374798,#3309263,31872561250382,79,15.8,63.2,1,,GBP
S12798827659342,#3309279,28587503485006,89,0,89,1,,GBP
S12798848401486,#3309310,40399675359310,69,13.8,55.2,1,,GBP
S12798848434254,#3309310,39399871512654,69,0,69,1,,GBP
R12798864392270,RET#3309325,40287343607886,-89,0,-88.3,-1,overall fit,GBP
S12798864392270,#3309325,40287343607886,89,0,89,1,,GBP
S12798864359502,#3309325,28587503648846,89,17.8,71.2,1,,GBP
S12798864326734,#3309325,39991315333198,84,16.8,67.2,1,,GBP
S12798883561550,#3309350,39926153052238,69,13.8,55.2,1,,GBP
S12798883496014,#3309350,40230647660622,69,13.8,55.2,1,,GBP
S12798883594318,#3309350,32576267288654,64,12.8,51.2,1,,GBP
S12798883627086,#3309350,40258584870990,64,12.8,51.2,1,,GBP
S12798883528782,#3309350,39399871971406,69,13.8,55.2,1,,GBP
S12798883463246,#3309350,39509054881870,84,0,84,1,,GBP
